,ORF1ab,S,ORF3a,E,M,ORF6,ORF7a,ORF7b,ORF8,N,ORF10,Total
HKU3_7+Rp3,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0
YN2018B+n24,0.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0
B039+C020,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,400.0,0.0,509.0
n44+n46,0.0,0.0,0.0,0.0,0.0,0.0,451.0,19.0,0.0,0.0,32.0,502.0
Rs4084+Rs4247_148,0.0,0.0,0.0,0.0,0.0,300.0,200.0,0.0,0.0,0.0,0.0,500.0
BtKY72+n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0
Rs4247_148+n27,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,500.0
n38+n5,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
Rs4231+Rs9401,0.0,0.0,0.0,0.0,0.0,68.0,230.0,0.0,200.0,0.0,0.0,498.0
LYRa11+n44,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,494.0
Rs672+YN2018D,0.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0
n40+n46,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,486.0
Rs9401+YN2018B,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0
Rs4084+n13,0.0,0.0,0.0,0.0,0.0,400.0,75.0,0.0,0.0,0.0,0.0,475.0
Rs4084+Rs7327,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,174.0,0.0,474.0
HKU3_7+RpS11,0.0,0.0,0.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0
n35+n48,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0
F46+n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,462.0
CpY11+YNLF_31C,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0
LYRa11+Rp3,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0
GX2013+RpS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,460.0
As6526+YN2018A,0.0,0.0,0.0,0.0,59.0,400.0,0.0,0.0,0.0,0.0,0.0,459.0
Rf4092+Rs4231,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0,0.0,0.0,0.0,454.0
SC2018+n19,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,453.0
Rs4084+WIV1,0.0,100.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0
CpY11+n40,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0
n4+n46,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,137.0,0.0,0.0,437.0
n14+n35,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,333.0,0.0,0.0,433.0
